Price,Style,Number,Length,Move In,Collected On
1669,Jade,Unit D - 3027,15 Months,Aug 29 ,2015-08-15
2349,Slate,Unit D - 4026,15 Months,Sep 07 ,2015-08-15
1509,Cyan,Unit D - 1028,10 Months,Aug 17 ,2015-08-17
1579,Amber,Unit F - 1042,15 Months,Oct 12 ,2015-08-17
1619,Sable,Unit A - 2008,15 Months,Sep 25 ,2015-08-17
1629,Azure,Unit C - 3018,15 Months,Oct 03 ,2015-08-17
2469,Slate,Unit D - 4026,15 Months,Sep 07 ,2015-08-17
1349,Cyan,Unit C - 1020,15 Months,Nov 07 ,2015-08-20
1519,Amber,Unit F - 1042,15 Months,Oct 12 ,2015-08-20
1549,Sable,Unit A - 2008,15 Months,Sep 25 ,2015-08-20
1559,Azure,Unit C - 3018,15 Months,Oct 03 ,2015-08-20
2189,Slate,Unit D - 4026,10 Months,Aug 25 ,2015-08-20
1349,Cyan,Unit C - 1020,15 Months,Nov 07 ,2015-08-22
1529,Amber,Unit F - 1042,15 Months,Oct 12 ,2015-08-22
1559,Sable,Unit A - 2008,15 Months,Sep 25 ,2015-08-22
1569,Azure,Unit C - 3018,14 Months,Oct 05 ,2015-08-22
2189,Slate,Unit D - 4026,10 Months,Aug 25 ,2015-08-22
1349,Cyan,Unit C - 1020,15 Months,Nov 07 ,2015-08-23
1529,Amber,Unit F - 1042,15 Months,Oct 12 ,2015-08-23
1559,Sable,Unit A - 2008,15 Months,Sep 25 ,2015-08-23
1569,Azure,Unit C - 3018,14 Months,Oct 05 ,2015-08-23
2159,Slate,Unit D - 4026,15 Months,Sep 06 ,2015-08-23
1349,Cyan,Unit C - 1020,15 Months,Nov 07 ,2015-08-24
1529,Amber,Unit F - 1042,15 Months,Oct 12 ,2015-08-24
1559,Sable,Unit A - 2008,15 Months,Sep 25 ,2015-08-24
1569,Azure,Unit C - 3018,14 Months,Oct 05 ,2015-08-24
2159,Slate,Unit D - 4026,15 Months,Sep 06 ,2015-08-24
1349,Cyan,Unit C - 1020,15 Months,Nov 07 ,2015-08-29
1389,Amber,Unit E - 1034,15 Months,Oct 23 ,2015-08-29
1429,Azure,Unit C - 3018,14 Months,Oct 05 ,2015-08-29
1429,Sable,Unit A - 2008,15 Months,Sep 25 ,2015-08-29
1899,Jade,Unit B - 2011,15 Months,Oct 03 ,2015-08-29
2359,Slate,Unit F - 4047,15 Months,Oct 02 ,2015-08-29
